epoch,accuracy,loss,val_accuracy,val_loss
0,0.7379999756813049,0.8341645002365112,0.8424999713897705,0.3263564705848694
1,0.8220000267028809,0.4323938488960266,0.8812500238418579,0.3173012137413025
2,0.8679999709129333,0.318930447101593,0.8849999904632568,0.2932890057563782
3,0.8970000147819519,0.27422699332237244,0.8837500214576721,0.2942928075790405
4,0.9110000133514404,0.23642997443675995,0.8550000190734863,0.43202027678489685
5,0.9330000281333923,0.1754186749458313,0.8949999809265137,0.3526378571987152
6,0.9229999780654907,0.20098643004894257,0.9075000286102295,0.29001256823539734
7,0.9470000267028809,0.15474049746990204,0.7925000190734863,1.0510311126708984
8,0.9490000009536743,0.14776170253753662,0.9012500047683716,0.36880260705947876
9,0.9559999704360962,0.12451164424419403,0.8974999785423279,0.41276437044143677
